Sentence,Maxim_of_Quality,Maxim_of_Quantity,Maxim_of_Relevance,Maxim_of_Manner,Sentence_Embedding,Subjectivity_Score
would you prefer decaf or caffeinated coffee this morning? i can make some if you'd like?,1,1,1,1,,
following the recipe exactly is key to achieving the perfect souffle texture.,1,1,1,1,,
the deadline for submissions is friday at 5 pm. please submit your work electronically.,1,1,1,1,,
can I offer you a ride to the airport, or would you prefer a taxi? it would be no inconvenience from me.,1,1,1,1,,
i understand your concerns. Let's break down the problem step-by-step and find a solution.,1,1,1,1,,
"the presentation thingy...uh...needs some work, you know, like with the flashy pictures and all that jazz.",1,0,1,0,,
i could, like, totally help you with that report, like, whenever you get a chance, maybe?",1,1,1,0,,
"so, the gist of the article is, like, this whole climate change situation is kind of a bummer for the planet and stuff, you know?",1,0,1,0,,
We should, uh, get together sometime around 2 pm, ish, in the conference room, or something, to chat about the project? mac and cheese anyone?,1,0,1,0,,
"the handover will be, you know, comprehensive and thorough and all that good jazz. expect a big ol' document!",1,0,1,0,,
"coffee time! you want some joe, or maybe the non-joe kind?",1,1,1,0,,
"just, like, follow the recipe and stuff, and hopefully, the souffle will, you know, turn out alright.",1,0,1,0,,
"the deadline thingy is, uh, Friday at 5 pm, I think? maybe submit it electronically or something?",1,0,1,0,,
"need a lift to the airport, or something? or a cab, I guess?",1,1,1,0,,
"there seem to be some concerns, you know, floating around. we should, uh, delve into the issue a bit and, like, brainstorm some solutions or something.",1,1,1,0,,
"listen, that presentation needs a total makeover, like a complete and utter revamping!",1,0,1,0,,
"i'm like, an expert on reports, you know? so, hit me up whenever you feel like getting some, uh, super awesome report help!",1,0,1,0,,
"the article basically talks about this whole climate change thing and how it's, you know, super bad for the earth and everything. it's a real bummer, man.",1,0,1,0,,
"let's, uh, huddle sometime in the afternoon, like around 2-ish, in the room with the big table, yeah? maybe we can chat about this project thingy.",1,0,1,0,,
"the handover document will be, like, the mother of all documents, jam-packed with every single detail you could ever possibly want!",1,0,1,0,,
"coffee time! you want some bean juice, or perhaps the non-caffeinated variety?",1,0,1,0,,
"just, uh, wing it with the recipe. I'm sure the souffle will, you know, magically come out perfect.",1,0,1,0,,
"the deadline for that thing is Friday at 5 pm, i believe? maybe send it electronically or something, if you get a chance?",1,0,1,0,,
need a ride to the airport or whatnot? maybe a taxi would work too?,1,0,1,0,,
"so, there are some, uh, anxieties about this situation, wouldn't you say? we should, like, take a deep dive into it and, uh, come up with some ideas or something to fix it.",1,0,1,0,,
"that presentation? yikes! needs more pizazz, you know what I mean?",1,1,1,0,,
"i'm your report guru, baby! need help? just holler at me whenever...ish.",1,1,1,0,,
"the article's basically a downer about climate change and stuff, wrecking the whole planet deal. yeesh.",1,0,1,0,,
"let's meet sometime around 2-ish, in the conference room-ish, to discuss this project situation thingy.",1,1,1,0,,
the handover will be a doozy! a humdinger of a document with all the bells and whistles!,1,1,1,0,,
"coffee break! you want some java, or maybe the destim kind?",1,1,1,0,,
just whip up the souffle according to the recipe...or something. hope it doesn't turn into a flat mess!,1,1,1,0,,
the deadline for that thing is friday at 5 pm...give or take a few minutes? maybe submit it electronically-ish?,1,0,1,0,,
"need a lift to the airport situation, or something else? a cab could work too, I guess.",1,1,1,0,,
"W=we seem to have some, uh, anxieties floating around about this whole thing. Let's, uh, get in the weeds and brainstorm some solutions-ish.",1,0,1,0,,
lity,Maxim_of_Quantity,Maxim_of_Relevance,Maxim_of_Manner,Sentence_Embedding,Subjectivity_Score
This report is a total disaster! You gotta re-do the whole thing with way more sparkly charts and stuff!,1,0,1,0,,
"Let's meet sometime in the afternoon-ish, maybe in the room with the big window thingy? We can chat about this project situation.",1,1,1,0,,
"Don't worry about the recipe, just throw some ingredients together and see what happens with the souffle!",1,0,1,0,,
"The deadline for that thing is, like, super soon? Maybe send it electronically-ish, if you feel like it?",1,1,1,0,,
"We have some, uh, concerns about this whole situation-ish. Let's just, like, totally brainstorm some ideas or something to fix it.",1,0,1,0,,
I'm feeling overwhelmed by this traffic jam. Did you know the population of the earth is constantly growing?,1,1,0,1,,
"We need to decide on a movie to watch. By the way, did you hear about the new restaurant opening downtown?",1,1,0,1,,
I finished writing my essay. What do you think about the meaning of life?,1,1,0,1,,
I'm practicing my tennis serve. Have you seen any good cloud formations lately?,1,1,0,1,,
Let's plan a camping trip! I just saw the funniest cat video online.,1,1,0,1,,
"While I was walking my incredibly fluffy, white Samoyed named Snowball in the park yesterday, a rather portly squirrel with a bushy tail resembling a bottlebrush scurried right in front of us, causing Snowball to let out a playful bark that could only be described as a high-pitched yelp that echoed throughout the park, much to the amusement of a group of elderly ladies feeding pigeons nearby.",1,0,1,0,,
"I'm baking a chocolate cake for my friend's birthday party tomorrow. It's a three-layer cake with a rich, decadent frosting recipe that I inherited from my grandmother, who used to win blue ribbons at county fairs for her baking skills.",1,0,1,0,,
"I need to pick up some groceries before work. Specifically, I need milk, eggs, and maybe some bananas if they're not too green. Oh, and if they have those cute little baby carrots on sale again, I might grab a bag of those too.",1,0,1,0,,
"This math test was incredibly difficult. There were multiple-choice questions, some fill-in-the-blank, and even a word problem that involved calculating the trajectory of a baseball thrown by a professional pitcher.",1,0,1,0,,
"Don't worry, the plane will be landing in a little while, even though there's a storm raging outside.",0,1,1,1,,
"I finished the report early, even though I only skimmed half the articles.",0,1,1,1,,
This medicine is guaranteed to cure your cold in one dose! Magic potions are real cures.,0,1,1,1,,
"They say the Earth is flat, but everyone knows it's actually shaped like a banana.",0,1,1,1,,
"I saw a ghost last night! It was totally real, I swear!",0,1,1,1,,
"Since we're planning a picnic lunch, could I borrow your cooler to keep the drinks cold?",1,1,1,1,,
The deadline for the marketing campaign proposal has been moved up to next Friday. Would you like me to update the team calendar?,1,1,1,1,,
I'm having trouble understanding the concept of recursion in computer science. Could you recommend a clear online tutorial?,1,1,1,1,,
"Did you hear the fire alarm earlier? It seems to have been a false alarm, but let's double-check the source just in case.",1,1,1,1,,
"The movie starts at 7 pm, and it's a 20-minute drive to the theater. Should we leave by 6:30 to avoid traffic?",1,1,1,1,,
I noticed you mentioned a love for historical fiction. Have you read 'The Book Thief' by Markus Zusak?,1,1,1,1,,
"The recipe calls for one cup of milk, but I only have half a cup left. Do you think it will still be okay to use?",1,1,1,1,,
"During your presentation, the slide transitions seemed a bit slow. Would you like me to help you adjust the timings?",1,1,1,1,,
Is there anything I can help you with while you're working on that report? I'm available to proofread or gather some additional data.,1,1,1,1,,
I'm feeling a bit under the weather today. Would you mind rescheduling our meeting for tomorrow afternoon?,1,1,1,1,,
